352,4,1,1
353,4,1,2
354,4,1,3
355,4,1,4
357,4,2,5
358,4,2,6
359,4,2,7
361,4,3,8
362,4,3,9
363,4,3,10
364,4,3,11
365,4,4,12
367,4,4,13
368,4,4,14
369,4,4,15
370,4,4,16
372,4,5,17
373,4,5,18
374,4,5,19
375,4,5,20
376,4,5,21
377,4,5,22
378,4,5,23
639,4,5,24
641,4,5,25
661,4,5,26
783,4,5,27
380,4,5,28
381,4,6,29
382,4,6,30
383,4,6,31
384,4,6,32
386,4,7,33
387,4,7,34
388,4,7,35
389,4,7,36
390,4,7,37
391,4,7,38
392,4,7,39
394,4,8,40
395,4,8,41
665,4,8,42
818,4,8,43
820,4,9,44
821,4,9,45
822,4,9,46
884,4,9,47
898,4,9,48
899,4,9,49
900,4,9,50
901,4,9,51
911,4,9,52
912,4,9,53
913,4,9,54
914,4,9,55
915,4,9,56
917,4,9,57
918,4,9,58
