구찌,https://usercontents-c.styleshare.io/images/21186503/700x394,https://usercontents-c.styleshare.io/images/21186503/88x50,"Gucci는 혁신적이고 진취적인 자세로 패션의 현대적 감성을 극대화하는 영향력 있는 브랜드입니다. 크리에이티브 디렉터 알레산드로 미켈레의 창의적인 비전 아래에서 21세기 명품 시장에 새로운 변혁을 일으키며, 누구나 꿈에 그리는 패션 하우스로서의 높은 명성을 강화하고 있습니다. 절충적이면서도 현대적인 로맨티시즘이 반영되어 있는 Gucci 제품은 이탈리아의 장인 정신과 더불어 작은 디테일 하나까지도 놓치지 않는 탁월한 품질을 대표하는 아이콘과도 같습니다."
굿나잇데이브,https://usercontents-c.styleshare.io/images/38447067/700x394,https://usercontents-c.styleshare.io/images/38447067/88x50,"굿나잇데이브는 ""잠이 인생을 바꾼다""고 믿고 다양하고 재미있는 홈웨어 그리고 수면제품을 기획하는 브랜드입니다"
굿딜,https://usercontents-c.styleshare.io/images/43027679/700x394,https://usercontents-c.styleshare.io/images/43027679/88x50,Good Deal은 다양한 상품을 공장에서 원도매로 소싱하여 중간 거품없이 고객님들에게 가성비 있는 제품들을 소개해드리고 있습니다.
굿라이프웍스,https://usercontents-c.styleshare.io/images/42271548/700x394,https://usercontents-c.styleshare.io/images/42271548/88x50,GOOD LIFE WORKS 는 좋은 인생이란 뜻으로 거기에 어울리는 합리적인 가격의 디자인 상품을 만듭니다.
굿햄프,https://usercontents-c.styleshare.io/images/42170352/700x394,https://usercontents-c.styleshare.io/images/42170352/88x50,복잡한 피부 고민을 해결하는최적의 데일리 스킨케어 솔루션
권도영알로에,https://usercontents-c.styleshare.io/images/43096426/700x394,https://usercontents-c.styleshare.io/images/43096426/88x50,"1994년에 설립된 ‘권도영 알로에’는 알로에 사포나리아를 직접 재배 및 가공하여 건강한 알로에 제품을 생산하는 농업회사법인입니다.알로에 농장은 청정지역인 울산 울주군에 위치하고 있으며 그 규모는 국내 최대 규모인 약 35,000평이며, 생산 공장은 경북 문경에 위치하고 있습니다. 농약이나 화학성분 등을 일절 사용하지 않는 유기농법의 원칙을 고수하여 알로에를 재배하고 있으며, 엄격한 품질관리 시스템을 기반으로 국내 및 해외 시장에서 믿을 수 있는 안전한 제품을 연구 및 생산하고 있습니다."
그라비스,https://usercontents-c.styleshare.io/images/43007170/700x394,https://usercontents-c.styleshare.io/images/43007170/88x50,"GRAVIS(그라비스)는 버튼 산하의 풋 웨어 브랜드입니다. 왕성한 홍보활동과 다양한 제품 군을 출시하며 전세계 익스트림 스포츠 마니아들로부터 찬사를 받고 있습니다. 특히 매년 품절사례를 기록하는 가방 류와 그라비스에서만 만날 수 있는 타막, 로다운 등의 스니커들은 그라비스의 위상을 더욱 공고히 하는 스테디셀러 모델입니다."
그라빈,https://usercontents-c.styleshare.io/images/21573500/700x394,https://usercontents-c.styleshare.io/images/21573500/88x50,
그라인더스,https://usercontents-c.styleshare.io/images/35899776/700x394,https://usercontents-c.styleshare.io/images/35899776/88x50,
그라펜,https://usercontents-c.styleshare.io/images/25299987/700x394,https://usercontents-c.styleshare.io/images/25299987/88x50,BE CREATIVE & ACT그루밍의 기준을 바꾸다 GRAFEN
그라함스,https://usercontents-c.styleshare.io/images/19533290/700x394,https://usercontents-c.styleshare.io/images/19533290/88x50,"제프 그라함의 3개월 된 아들은 호주 멜버른의 Royal 소아 병원에서 피부 문제가 가장 심한 케이스였습니다. 제프는 더 이상 두고 볼 수만은 없어 무언가 대책을 세워야겠다 다짐했습니다. ""몇 년 동안 수많은 의사와 피부과 전문의들을 만나봤습니다. 그리고 현재 나와있는 모든 제품을 다 써봤습니다. 수많은 시도와 실패를 거듭해 우리는 피부 습진, 아토피, 마른 버짐을 위한 칼렌둘리스 플러스 크림을 만들어 냈고, 우리는 나 자신 그리고 제 아들 라이언에게서도 엄청난 결과를 가져올 수 있었습니다."" 제프와 쉐넌은 지금도 깨끗하고 건강한 피부를 위한 제품을 만들고 있으며, 지속적으로 연구개발 중입니다."
그랜드피날레,https://usercontents-c.styleshare.io/images/19558130/700x394,https://usercontents-c.styleshare.io/images/19558130/88x50,GRAND FINALE(그랜드 피날레)는 다양한 문화에서 영감을 받아 극적인 색감과 섬세한 실루엣을 중심가치로 전개되는 유니섹스 브랜드입니다.
그램,https://usercontents-c.styleshare.io/images/22296863/700x394,https://usercontents-c.styleshare.io/images/22296863/88x50,"GRAM은 2005년 스웨덴 스톡홀름에서 두명의 디자이너, ALEXES HOLM과 ANNA STENVI가 만든 브랜드 입니다.GRAM을 짧게 표현한다면 '예술적이고 세련된 스니커즈' 라고 정의 할 수 있습니다.스칸디나비아 특유의 감성을 담은 디자인은 미학적이고 절제되어 있으며, 클래식을 새롭게 해석한 스니커즈를 지향합니다.GRAM의 모든 제품은 그 첫 번째 프로토타입의 무게를 기준으로 네이밍 됩니다.도시의 안목있는 셀럽(celeb) 이 되고 싶다면  'Enjoy your GRAM!'"
그램(GRAM),https://usercontents-c.styleshare.io/images/40867721/700x394,https://usercontents-c.styleshare.io/images/40867721/88x50,"그램, 피부에 필요한 부분을 신박하고 합리적이게 만들겠습니다."
그레고리,https://usercontents-c.styleshare.io/images/43096150/700x394,https://usercontents-c.styleshare.io/images/43096150/88x50,"""가방은 메는것이 아니라 입는 것이다""14세인 1962년부터 배낭을 만들어 미국의 역사적인 아웃도어 매장 'Adventure 16""과 협업을 했던Wayne Gregory가 배낭에 대해 가지고 있는 명제였으면 철학입니다."
그레이멜린,https://usercontents-c.styleshare.io/images/24739032/700x394,https://usercontents-c.styleshare.io/images/24739032/88x50,"자연에서 답을 찾다, 자연유래 성분 천연화장품 전문업체 GRAYMELIN"
그레이베리,https://usercontents-c.styleshare.io/images/22283400/700x394,https://usercontents-c.styleshare.io/images/22283400/88x50,"그레이베리(GrayBerry)는 또 다른 행성의 개념으로 기존의 고정관념을 탈피하고 모두의 개성을 존중하는 유토피아입니다.컬렉션 컨셉은 그레이베리의 브랜드스토리를 바탕으로 이루어지며, 스토리에 따라 독특한 방식으로 전개됩니다."
그레이즈문,https://usercontents-c.styleshare.io/images/37982873/700x394,https://usercontents-c.styleshare.io/images/37982873/88x50,그레이즈문(Gray is moon)' 회색은 달이다.평범한 단어를 조합했지만 평범하지 않은 브랜드 '그레이즈문'에 걸맞도록 그레이즈문에서는 노멀한 듯 특별한 상품에 가치를 두고 있습니다. 그레이즈문은 한밤중 칠흑같은 어둠을 밝히는 수많은 별 사이에 군림한 여왕인 '달처럼' 당신의 일상에 스포트라이트를 가져다줄 것입니다.
그레이지,https://usercontents-c.styleshare.io/images/18295963/700x394,https://usercontents-c.styleshare.io/images/18295963/88x50,"GRAZY(그레이지)는 각박한 일상에서 지쳐 벗어나고 싶은 당신의 메마른 감성 충전을 위한 감성여정의 길잡이가 되고자 합니다. 중성적이고 정돈된 실루엣, 불필요한 디테일을 최소화 하여 패턴의 심플함과 유니크함을 강조 하였고, 그레이지만의 DRYCOATEX 원단을 사용하여 여행에 적함한 생활방수와 가벼움을 추구합니다."
그레이티스트,https://usercontents-c.styleshare.io/images/19558151/700x394,https://usercontents-c.styleshare.io/images/19558151/88x50,"THE GREATEST(그레이티스트)는 독립형 디자인 브랜드입니다. 현대적인 예술(modern art), 현대의 스트릿 패션(modern street fashion)을 그레이티스트의 색으로 새롭게 해석해 높은 퀄리티로 새로운 일상적인 스타일을 추구합니다."
